Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.03     0.00        1     0.00     0.00  handle_auth_rsp_content_cb
  0.00      0.03     0.00        1     0.00     0.00  http_get
  0.00      0.03     0.00        1     0.00     0.00  http_tx_manager_check_protocol_version
  0.00      0.03     0.00        1     0.00     0.00  http_tx_manager_new
  0.00      0.03     0.00        1     0.00     0.00  http_tx_manager_start
  0.00      0.03     0.00        1     0.00     0.00  load_branch_cb
  0.00      0.03     0.00        1     0.00     0.00  load_repo
  0.00      0.03     0.00        1     0.00     0.00  load_repo_cb
  0.00      0.03     0.00        1     0.00     0.00  migrate_client_v0_repos
  0.00      0.03     0.00        1     0.00     0.00  notify_sync
  0.00      0.03     0.00        1     0.00     0.00  seaf_block_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_block_manager_remove_store
  0.00      0.03     0.00        1     0.00     0.00  seaf_branch_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_branch_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_branch_ref
  0.00      0.03     0.00        1     0.00     0.00  seaf_clone_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_clone_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_clone_manager_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_manager_add_commit
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_manager_get_commit_compatible
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_manager_traverse_commit_tree_truncated
  0.00      0.03     0.00        1     0.00     0.00  seaf_commit_ref
  0.00      0.03     0.00        1     0.00     0.00  seaf_dir_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_dir_save
  0.00      0.03     0.00        1     0.00     0.00  seaf_dir_to_data
  0.00      0.03     0.00        1     0.00     0.00  seaf_fs_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_fs_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_fs_manager_object_exists
  0.00      0.03     0.00        1     0.00     0.00  seaf_mq_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_mq_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_mq_manager_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_obj_store_obj_exists
  0.00      0.03     0.00        1     0.00     0.00  seaf_obj_store_register_async_read
  0.00      0.03     0.00        1     0.00     0.00  seaf_obj_store_unregister_async_read
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_free_ignore_files
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_from_commit
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_index_commit
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_load_ignore_files
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_manager_get_repo_relay_info
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_manager_set_repo_property
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_manager_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_repo_to_commit
  0.00      0.03     0.00        1     0.00     0.00  seaf_sync_manager_init
  0.00      0.03     0.00        1     0.00     0.00  seaf_sync_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_sync_manager_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_transfer_manager_add_upload
  0.00      0.03     0.00        1     0.00     0.00  seaf_transfer_manager_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_transfer_manager_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_wt_monitor_new
  0.00      0.03     0.00        1     0.00     0.00  seaf_wt_monitor_start
  0.00      0.03     0.00        1     0.00     0.00  seaf_wt_monitor_watch_repo
  0.00      0.03     0.00        1     0.00     0.00  seafile_check_protocol_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_check_tx_v2_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_check_tx_v3_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_checkbl_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_checkff_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getca_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getcommit_v2_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getcommit_v3_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getcs_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getcs_v2_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getfs_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_getfs_v2_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_sendbranch_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_sendcommit_v3_new_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_sendcommit_v3_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_sendcommit_v4_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_sendfs_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  seafile_session_config_exists
  0.00      0.03     0.00        1     0.00     0.00  seafile_session_config_open_db
  0.00      0.03     0.00        1     0.00     0.00  seafile_sync_repo_proc_get_type
  0.00      0.03     0.00        1     0.00     0.00  set_proxy
  0.00      0.03     0.00        1     0.00     0.00  shutdown_client
  0.00      0.03     0.00        1     0.00     0.00  start
  0.00      0.03     0.00        1     0.00     0.00  start_block_upload
  0.00      0.03     0.00        1     0.00     0.00  start_check_block_list_proc
  0.00      0.03     0.00        1     0.00     0.00  start_commit_upload
  0.00      0.03     0.00        1     0.00     0.00  start_fs_upload
  0.00      0.03     0.00        1     0.00     0.00  start_load_block_list_thread
  0.00      0.03     0.00        1     0.00     0.00  start_upload
  0.00      0.03     0.00        1     0.00     0.00  start_upload_if_necessary
  0.00      0.03     0.00        1     0.00     0.00  traverse_commit_tree_common
  0.00      0.03     0.00        1     0.00     0.00  update_index
